emp_no,first_name,last_name,to_date,title
57045,Luise,Picci,9999-01-01,Senior Staff
57048,Sanjay,Suomi,9999-01-01,Senior Staff
57049,Eberhardt,Pettit,9999-01-01,Senior Engineer
57051,Xinyu,Angot,2001-03-02,Engineer
57055,Divine,Kitai,9999-01-01,Senior Staff
57064,Arco,Serov,9999-01-01,Senior Engineer
57068,Mari,Rabehasaina,9999-01-01,Senior Engineer
57071,Wilmer,Stenning,9999-01-01,Senior Engineer
57075,Alexius,Duclos,9999-01-01,Senior Staff
57078,Itzchak,Polupanov,9999-01-01,Senior Engineer
57079,Shay,Rassart,9999-01-01,Senior Engineer
57080,Odinaldo,Sooriamurthi,9999-01-01,Engineer
57087,Niranjan,Giarratana,9999-01-01,Senior Engineer
57095,Kellyn,Verhoeff,9999-01-01,Senior Engineer
57096,Zijian,Ranai,2001-08-04,Engineer
57106,Shridhar,Chiodo,9999-01-01,Senior Engineer
57107,Shigenori,Serre,9999-01-01,Senior Staff
57110,Gou,Stellhorn,9999-01-01,Senior Staff
57111,Armond,Suermann,9999-01-01,Senior Engineer
57112,Leandro,Dolinsky,9999-01-01,Engineer
57115,Nirmal,Zobel,9999-01-01,Engineer
57117,Nahid,Radhakrishnan,2001-03-11,Senior Engineer
57118,Xinan,Champarnaud,9999-01-01,Engineer
57119,Aleksandar,Bondorf,9999-01-01,Senior Staff
57123,Fatemeh,Zedlitz,9999-01-01,Engineer
57124,Kwangyoen,Benzmuller,9999-01-01,Senior Staff
57135,Christ,Dolinsky,9999-01-01,Staff
57139,Arco,Merel,9999-01-01,Staff
57144,Arunachalam,Salinas,9999-01-01,Senior Engineer
57150,Jayesh,Leivant,9999-01-01,Technique Leader
57153,Rosine,Azumi,9999-01-01,Senior Staff
57155,Lene,Brattka,9999-01-01,Staff
57156,Jinpo,Demir,1992-09-17,Staff
57157,Susuma,Byoun,2002-01-09,Engineer
57164,Manu,Gecsel,9999-01-01,Staff
57169,Kiam,Schiper,9999-01-01,Senior Staff
57171,Subhankar,Ligten,1991-10-15,Staff
57172,Eric,Hofman,1998-11-24,Engineer
57176,Pranav,Stenning,9999-01-01,Senior Engineer
57177,Souichi,Papsdorf,9999-01-01,Senior Staff
57178,Oldrich,Rousseau,9999-01-01,Senior Staff
57179,Danai,Alencar,9999-01-01,Engineer
57180,Hein,Byoun,9999-01-01,Senior Engineer
57184,Takushi,Cooke,9999-01-01,Senior Engineer
57188,Taiji,Juneja,9999-01-01,Senior Staff
57190,Youpyo,Uhrik,9999-01-01,Senior Staff
57194,Eishiro,Frolund,9999-01-01,Engineer
57198,Yucel,Noriega,9999-01-01,Senior Engineer
57202,Subhrajyoti,Maksimenko,9999-01-01,Technique Leader
57205,Mohd,Verspoor,9999-01-01,Engineer
57208,Xiaoqiu,Greibach,9999-01-01,Staff
57210,Odinaldo,Veccia,9999-01-01,Senior Staff
57211,Uta,Undy,9999-01-01,Senior Engineer
57217,Freyja,Sommer,9999-01-01,Engineer
57218,Masamitsu,Ranum,9999-01-01,Senior Engineer
57223,Danel,Copas,9999-01-01,Engineer
57228,Jaideep,Brickell,1996-10-11,Senior Engineer
57229,Haldon,Usery,9999-01-01,Staff
57230,Vincent,Bennis,9999-01-01,Senior Staff
57233,Hein,Murillo,9999-01-01,Assistant Engineer
57234,Junsik,Veldwijk,9999-01-01,Senior Staff
57242,Tetsushi,Lowrie,9999-01-01,Senior Staff
57243,Shushma,Matteis,9999-01-01,Senior Engineer
57246,Uinam,Bamford,9999-01-01,Senior Staff
57248,Xiaocheng,Frolund,9999-01-01,Senior Engineer
57255,Hyuckchul,Rodiger,9999-01-01,Senior Staff
57256,Tomoyuki,Kalafatis,9999-01-01,Staff
57261,Xinan,Usdin,9999-01-01,Senior Engineer
57262,Steve,Yavatkar,9999-01-01,Senior Staff
57267,Tze,Montresor,9999-01-01,Senior Staff
57269,Tesuro,Berztiss,9999-01-01,Senior Staff
57272,Neelam,Siprelle,9999-01-01,Senior Engineer
57273,Gal,Baaleh,2000-08-07,Senior Staff
57278,Narain,Ghandeharizadeh,1998-10-19,Staff
57279,Rafail,Swab,9999-01-01,Staff
57291,Richard,Rosin,1989-11-07,Engineer
57294,Sariel,Engelmann,9999-01-01,Staff
57295,Armond,Carrera,9999-01-01,Technique Leader
57297,Tamiya,Benaini,9999-01-01,Senior Staff
57300,Alejandro,Uhrig,9999-01-01,Staff
57303,Kiyotoshi,Oskamp,9999-01-01,Senior Staff
57307,Vojin,Vilarrasa,2000-11-11,Senior Engineer
57308,Gritta,Parfitt,9999-01-01,Senior Engineer
57311,Alenka,Maliniak,9999-01-01,Senior Engineer
57312,Muzhong,Preusig,9999-01-01,Engineer
57314,Ymte,Zyda,9999-01-01,Senior Engineer
57316,Kousuke,Journel,1995-07-04,Senior Staff
57319,Goa,Mayerwieser,1996-12-29,Staff
57324,Abdelghani,Gajiwala,9999-01-01,Engineer
57325,Hidde,Akiyama,1993-08-16,Senior Staff
57328,Gopalakrishnan,Silva,9999-01-01,Engineer
57329,Raimond,Collavizza,2000-02-08,Senior Engineer
57331,Visit,Passino,9999-01-01,Senior Engineer
57335,Francoise,Casperson,9999-01-01,Senior Staff
57337,Vasiliy,Rabehasaina,9999-01-01,Senior Engineer
57338,Mostafa,Rouquie,9999-01-01,Senior Staff
57340,Gro,Constantine,9999-01-01,Senior Engineer
57341,Shmuel,Frolund,2001-12-26,Senior Engineer
57342,Arnd,Krychniak,9999-01-01,Technique Leader
57345,Golgen,Merkl,1999-01-01,Staff
57347,Seongbin,Gladwell,1994-12-09,Engineer
57349,Debaprosad,Bondorf,9999-01-01,Senior Engineer
57350,Aluzio,Georgakopoulos,9999-01-01,Senior Engineer
57355,Shahar,Condotta,9999-01-01,Engineer
57358,Valter,Serre,2000-10-29,Staff
57367,Zissis,Fabrizio,9999-01-01,Senior Engineer
57373,Mabry,Zhiwei,9999-01-01,Senior Staff
57377,Adel,Slobodova,9999-01-01,Engineer
57379,Pranay,Pollacia,9999-01-01,Senior Staff
57380,Bodh,Verhoeff,9999-01-01,Senior Engineer
57384,Chirstian,Birch,9999-01-01,Engineer
57390,Isamu,Perl,9999-01-01,Engineer
57392,Yechezkel,Detkin,9999-01-01,Senior Staff
57395,Jiakeng,McFarlin,1998-07-30,Staff
57397,Xiaocheng,Hmelo,9999-01-01,Senior Staff
57398,Premal,Puppo,9999-01-01,Senior Staff
57417,Gino,Aseltine,9999-01-01,Senior Engineer
57421,Girolamo,Liesche,9999-01-01,Senior Engineer
57426,Yannik,Lorch,9999-01-01,Technique Leader
57427,Adit,Kalefeld,9999-01-01,Engineer
57429,Krister,Zhang,9999-01-01,Senior Engineer
57433,Amalendu,Besancenot,2001-12-23,Technique Leader
57435,Kristin,Molenaar,1994-07-17,Engineer
57437,Zhenhua,Eterovic,1992-10-18,Engineer
57442,Arvin,Klassen,9999-01-01,Senior Engineer
57450,Shridhar,Lagarias,9999-01-01,Senior Staff
57457,Iara,Haumacher,9999-01-01,Senior Engineer
57460,Tua,Sadowsky,1998-11-07,Staff
57463,Tetsushi,Ranon,9999-01-01,Senior Staff
57464,Weidon,Benveniste,9999-01-01,Senior Engineer
57468,Collette,Roccetti,9999-01-01,Senior Engineer
57472,Stepehn,Willoner,9999-01-01,Technique Leader
57474,Gilbert,Katalagarianos,9999-01-01,Senior Staff
57475,Parviz,Takanami,9999-01-01,Senior Staff
57476,Badri,Staudhammer,9999-01-01,Senior Staff
57477,Kellyn,Rijsenbrij,9999-01-01,Assistant Engineer
57485,Georgy,Ligten,9999-01-01,Senior Staff
57487,Yefim,Majewski,9999-01-01,Senior Staff
57488,Junichi,Shimshoni,9999-01-01,Senior Engineer
57489,Jaihie,Benaini,9999-01-01,Senior Engineer
57492,Parto,Miyakawa,9999-01-01,Senior Staff
57496,Lene,Pileggi,1997-12-30,Senior Staff
57503,Yefim,Spinelli,9999-01-01,Technique Leader
57508,Muneo,Rousseau,9999-01-01,Senior Staff
57511,Weidon,Crabtree,9999-01-01,Senior Staff
57513,Zorica,Merli,9999-01-01,Senior Engineer
57520,Serif,Bach,2001-12-14,Senior Staff
57521,Janalee,Baak,1986-10-17,Staff
57524,Masamitsu,Chartres,9999-01-01,Senior Staff
57525,Herbert,Dechter,9999-01-01,Senior Staff
57526,Hatim,Denis,9999-01-01,Senior Staff
57527,Conal,Garigliano,2002-06-30,Senior Staff
57531,Tonia,Tomescu,9999-01-01,Senior Engineer
57532,Yannis,Cochrane,9999-01-01,Senior Engineer
57533,Kagan,Heuser,2000-12-20,Engineer
57535,Dante,Petereit,9999-01-01,Engineer
57537,Yannis,Hoogerwoord,9999-01-01,Senior Staff
57540,Shounak,Armand,9999-01-01,Engineer
57544,Gererd,Lammel,9999-01-01,Senior Engineer
57546,Lena,Schoegge,9999-01-01,Senior Staff
57547,Jaber,Stafford,9999-01-01,Technique Leader
57548,Unal,Gihr,9999-01-01,Engineer
57561,Mototsugu,Munos,9999-01-01,Senior Staff
57565,Kasidit,Ranai,1995-09-23,Staff
57566,Masami,Barinka,9999-01-01,Engineer
57568,Toshimori,Gornas,9999-01-01,Senior Engineer
57573,Ger,Emmerich,2001-07-27,Staff
57575,Kellie,Schurmann,9999-01-01,Engineer
57577,Piyush,Holburn,9999-01-01,Senior Staff
57578,Moheb,Fioravanti,9999-01-01,Technique Leader
57580,Mrinalini,Krupka,9999-01-01,Senior Engineer
57581,Uta,Riesenhuber,9999-01-01,Engineer
57587,Tianruo,Radwan,1997-01-05,Engineer
57592,Heng,Wendorf,1999-05-29,Assistant Engineer
57595,Heeju,Wielonsky,1997-04-24,Senior Engineer
57596,Shigehito,Schahn,9999-01-01,Senior Staff
57598,Lokesh,Heinisuo,9999-01-01,Senior Staff
57601,Kazuyasu,Brobst,9999-01-01,Senior Staff
57603,Arunas,Frezza,9999-01-01,Senior Engineer
57606,Houman,Demizu,1988-07-12,Engineer
57609,Greger,Casperson,9999-01-01,Technique Leader
57610,Khaled,Vecchi,9999-01-01,Staff
57612,Raimond,Rousseau,9999-01-01,Senior Staff
57616,Akeno,Bergere,9999-01-01,Staff
57618,Subhada,Schneeberger,9999-01-01,Assistant Engineer
57620,Along,Kragelund,9999-01-01,Technique Leader
57622,Jianhua,Koshino,9999-01-01,Engineer
57628,Shigehiro,Gornas,9999-01-01,Senior Staff
57629,Gretta,Vendrig,9999-01-01,Senior Staff
57632,Martial,Imataki,1994-09-21,Staff
57640,Aluzio,Stiles,1993-04-11,Engineer
57649,Gino,Kropp,9999-01-01,Engineer
57651,Ohad,Oxman,9999-01-01,Senior Staff
57655,Remzi,Gulik,2002-05-28,Technique Leader
57658,Maja,Bahk,9999-01-01,Senior Staff
57659,Odinaldo,Levergood,1992-11-04,Engineer
57660,Mayuri,Lally,2000-09-20,Engineer
57664,Gladys,England,9999-01-01,Senior Engineer
57665,Eldridge,Whittlesey,9999-01-01,Senior Staff
57669,Jianhui,Homond,2001-03-01,Engineer
57670,Poornachandra,Perz,9999-01-01,Senior Engineer
57672,Stevo,Peltason,9999-01-01,Engineer
57676,Alper,Noriega,9999-01-01,Senior Staff
57680,Tse,Herath,9999-01-01,Senior Engineer
57686,Valdiodio,Peek,1997-04-10,Senior Staff
57688,Mariangiola,Hofting,9999-01-01,Senior Staff
57689,Shuzo,Rosch,9999-01-01,Senior Staff
57691,Bogdan,Seiwald,1999-12-14,Staff
57695,Zhiguo,Kusakari,9999-01-01,Staff
57696,Arne,Monarch,9999-01-01,Engineer
57699,Yakichi,Talmor,9999-01-01,Senior Engineer
57706,Kolar,Quaggetto,9999-01-01,Senior Staff
57708,Nahla,Pardalos,9999-01-01,Senior Engineer
57709,Geoff,Chleq,1998-10-18,Engineer
57711,Bezalel,Farrow,9999-01-01,Senior Staff
57713,Theron,Bolotov,9999-01-01,Senior Engineer
57715,Shaibal,Chinen,9999-01-01,Senior Staff
57716,Kristinn,Schmiedel,9999-01-01,Senior Engineer
57718,Ayonca,Daescu,1999-10-07,Technique Leader
57720,Subhankar,Hasham,9999-01-01,Technique Leader
57721,Aral,Weedman,9999-01-01,Senior Staff
57722,Florina,Candan,9999-01-01,Staff
57724,Mark,Cools,9999-01-01,Senior Staff
57725,Patricio,Millington,2000-09-23,Staff
57727,Yannis,Vesel,9999-01-01,Assistant Engineer
57733,Ramalingam,Cooke,9999-01-01,Staff
57734,Sailaja,Peek,1993-06-03,Staff
57740,Georgi,Osgood,9999-01-01,Senior Engineer
57741,Dinah,Bouloucos,9999-01-01,Senior Engineer
57744,Kiyotoshi,Pesch,9999-01-01,Senior Engineer
57747,Fun,Lubachevsky,9999-01-01,Senior Engineer
57749,Luisa,Conte,9999-01-01,Senior Staff
57751,Dulce,Maksimenko,9999-01-01,Technique Leader
57752,IEEE,Schusler,1993-11-04,Staff
57753,Cordelia,Georgatos,2002-01-25,Senior Engineer
57754,Maria,Krone,1995-12-29,Staff
57755,Breannda,Munoz,9999-01-01,Staff
57756,Kwok,Ghalwash,9999-01-01,Senior Staff
57764,Yinghua,Gente,1998-02-02,Engineer
57768,Izaskun,Talmor,9999-01-01,Senior Staff
57769,Youpyo,Vickson,9999-01-01,Senior Staff
57773,Gaurav,McClure,2000-06-03,Technique Leader
57780,Martial,Androutsos,9999-01-01,Senior Staff
57795,Magy,Tetzlaff,9999-01-01,Senior Staff
57807,Xiadong,Ferriere,1992-05-04,Engineer
57815,JiYoung,Munawer,9999-01-01,Senior Staff
57819,Wilmer,Hellwagner,1995-11-12,Staff
57821,Alejandra,Bolotov,9999-01-01,Senior Staff
57822,Sachem,Camurati,9999-01-01,Staff
57826,Alair,Litecky,1999-06-23,Engineer
57827,Abdelkader,Vasanthakumar,9999-01-01,Staff
57829,Taisook,Tokunaga,9999-01-01,Staff
57834,Hideyuki,Demeyer,9999-01-01,Senior Engineer
57837,Aria,Murtafg,9999-01-01,Senior Engineer
57840,Panayotis,Jullig,9999-01-01,Staff
57841,Jordanka,Baek,9999-01-01,Staff
57847,Moon,Kornatzky,9999-01-01,Senior Staff
57850,Ayakannu,Kawashima,9999-01-01,Staff
57851,Horward,Nitta,2001-05-24,Senior Engineer
57852,Sivanarayana,Sadowsky,9999-01-01,Senior Staff
57856,Arunachalam,Bahi,9999-01-01,Senior Staff
57861,Akhilish,Munoz,9999-01-01,Senior Staff
57862,Reuven,Nyanchama,9999-01-01,Senior Staff
57865,Kazuhiro,Demian,9999-01-01,Senior Engineer
57869,Martine,Perl,9999-01-01,Senior Engineer
57870,Yurii,Georgatos,9999-01-01,Senior Engineer
57877,Brigham,Delgrande,9999-01-01,Senior Engineer
57880,Mandell,Brodie,9999-01-01,Staff
57882,Marsal,Bressoud,9999-01-01,Senior Staff
57883,Uma,Danlos,9999-01-01,Senior Engineer
57886,Fuqing,Kawashimo,1996-05-04,Senior Staff
57891,Oscar,Schapiro,9999-01-01,Senior Engineer
57893,Khalid,Tasistro,9999-01-01,Senior Engineer
57897,Kwok,Kranzdorf,1989-06-22,Engineer
57898,Atilio,Pearson,9999-01-01,Senior Engineer
57901,Koichi,VanScheik,9999-01-01,Technique Leader
57903,Chriss,Munck,9999-01-01,Senior Staff
57908,Holgard,Monarch,9999-01-01,Senior Staff
57910,Krassimir,Bale,9999-01-01,Senior Engineer
57912,Mohan,Gilg,1991-03-07,Staff
57915,Aral,Kermarrec,9999-01-01,Senior Staff
57918,Adib,Caine,9999-01-01,Senior Engineer
57919,Eckart,Fiutem,9999-01-01,Senior Staff
57924,Zhensheng,Matzat,9999-01-01,Senior Engineer
57926,Duangkaew,Shihab,1996-07-30,Engineer
57929,Gro,Debuse,9999-01-01,Senior Engineer
57930,Hideyuki,Veeraraghavan,9999-01-01,Senior Staff
57933,Yishay,Aamodt,9999-01-01,Staff
57938,Makato,Huhdanpaa,1999-06-15,Engineer
57939,Yechezkel,Majewski,1996-10-23,Senior Staff
57942,Licheng,Lindenbaum,9999-01-01,Senior Engineer
57945,Tsvetan,Merlo,9999-01-01,Senior Engineer
57949,Oldrich,Pezzoli,9999-01-01,Staff
57950,Hidde,Bergere,9999-01-01,Engineer
57958,Akhilish,Setiz,9999-01-01,Senior Engineer
57959,Tooru,Cyre,9999-01-01,Senior Staff
57963,Bogdan,Streit,1997-03-21,Senior Engineer
57965,Manton,Bolsens,9999-01-01,Senior Staff
57968,Froduald,Perng,9999-01-01,Engineer
57971,Ziya,Eiron,9999-01-01,Senior Engineer
57972,Gian,Malinowski,9999-01-01,Senior Staff
57979,Jahangir,Noriega,9999-01-01,Senior Engineer
57980,Shay,Matheson,9999-01-01,Senior Engineer
57983,Ranga,Iisaku,9999-01-01,Senior Staff
57985,Mokhtar,Bamford,9999-01-01,Senior Staff
57986,George,Bodoff,9999-01-01,Engineer
57988,Sahrah,Isaak,9999-01-01,Senior Staff
57990,Haldun,Buescher,9999-01-01,Senior Engineer
57996,Zhonghua,Xiaoshan,9999-01-01,Staff
58000,Nahid,Glowinski,1996-10-02,Senior Engineer
58002,Mayuko,Vakili,2001-03-20,Senior Engineer
58006,Ipke,Binding,9999-01-01,Senior Staff
58007,Nitsan,Zlotek,9999-01-01,Senior Engineer
58009,Herbert,England,9999-01-01,Engineer
58010,Gennady,Broder,9999-01-01,Senior Staff
58012,Tadahiro,DasSarma,9999-01-01,Senior Staff
58018,Sarita,Schieder,9999-01-01,Technique Leader
58022,Franziska,Marsiglia,9999-01-01,Senior Engineer
58024,Naftaly,Berztiss,9999-01-01,Senior Engineer
58026,Marko,Klerer,9999-01-01,Senior Staff
58027,Yakkov,Luef,9999-01-01,Senior Engineer
58029,Satoru,Giveon,2002-02-10,Engineer
58033,Maren,Etalle,1992-10-12,Senior Staff
58034,Rasiah,Rahimi,1990-05-27,Staff
58035,Jenwei,Speckmann,9999-01-01,Senior Engineer
58044,Deniz,Khalil,9999-01-01,Senior Staff
58045,Sajjad,Ellozy,9999-01-01,Staff
58050,Demin,Saoudi,9999-01-01,Senior Staff
58052,Kankanahalli,Melski,9999-01-01,Technique Leader
58053,Zissis,Karunanithi,9999-01-01,Senior Staff
58054,Christophe,Radwan,9999-01-01,Senior Engineer
58055,Radoslaw,Plotkin,9999-01-01,Engineer
58059,Behnaam,Zwicker,9999-01-01,Senior Engineer
58062,Qingxiang,Chartres,9999-01-01,Senior Engineer
58063,Dannz,Masand,9999-01-01,Senior Staff
58067,Noritoshi,Walstra,9999-01-01,Engineer
58073,Jianwen,Vecchio,9999-01-01,Senior Staff
58077,Tse,Weedon,9999-01-01,Senior Staff
58080,Hideyuki,Birta,9999-01-01,Senior Staff
58082,Mohammad,Talmor,9999-01-01,Technique Leader
58087,Narain,Szilard,9999-01-01,Senior Staff
58094,Danil,Katiyar,9999-01-01,Engineer
58096,Rosine,Usdin,9999-01-01,Staff
58099,Yunming,Fortenbacher,9999-01-01,Staff
58100,Weiyi,Worfolk,1999-12-02,Senior Engineer
58102,Aiichiro,Erni,9999-01-01,Technique Leader
58105,Adit,Luck,9999-01-01,Senior Engineer
58107,Shichao,Schapiro,9999-01-01,Senior Engineer
58109,Terresa,Ramsak,9999-01-01,Assistant Engineer
58111,Naftaly,Trystram,9999-01-01,Engineer
58115,Manu,Peir,9999-01-01,Senior Engineer
58118,Hidekazu,Butner,9999-01-01,Senior Staff
58119,Mads,Glinert,9999-01-01,Senior Staff
58121,Yuqun,Bugaenko,2000-02-15,Senior Staff
58123,Zhaofang,Isard,9999-01-01,Senior Staff
58125,Xiaoshan,Cesareni,9999-01-01,Senior Engineer
58127,Arno,Pietracaprina,9999-01-01,Engineer
58129,Chuanyi,Schnabel,9999-01-01,Senior Staff
58132,Zdislav,Kawashimo,9999-01-01,Senior Staff
58136,Lidong,Tsunoo,9999-01-01,Engineer
58139,Otmar,Kakkar,9999-01-01,Senior Engineer
58145,Kristinn,Bazelow,9999-01-01,Senior Engineer
58149,Jaihie,Kemmerer,1999-08-29,Engineer
58151,Masanao,Smeets,9999-01-01,Senior Engineer
58161,Akhilish,Karner,9999-01-01,Senior Engineer
58168,Aksel,Servieres,9999-01-01,Engineer
58174,Zita,Rissanen,1993-04-16,Engineer
58177,Vidar,Basagni,9999-01-01,Senior Staff
58178,Bernt,Lamparter,2002-03-22,Engineer
58181,Gunilla,Irland,9999-01-01,Engineer
58182,Gennady,Kroft,9999-01-01,Senior Engineer
58184,Yonghong,Mandelberg,9999-01-01,Staff
58187,Muneo,Rosiles,9999-01-01,Engineer
58197,Sahrah,Suri,9999-01-01,Senior Engineer
58199,Yechiam,Karnin,9999-01-01,Staff
58200,Berni,Ozeki,9999-01-01,Senior Engineer
58201,Willard,Bashian,9999-01-01,Senior Engineer
58206,Shaibal,Lorie,9999-01-01,Senior Engineer
58213,Toshimitsu,Wolniewicz,9999-01-01,Senior Engineer
58220,Uta,Vandervoorde,9999-01-01,Assistant Engineer
58222,Sarita,Takanami,1995-11-12,Technique Leader
58226,Ayonca,Gill,9999-01-01,Staff
58227,Armond,Bierbaum,9999-01-01,Assistant Engineer
58231,Marjo,Pauthner,9999-01-01,Senior Staff
58238,Bartek,Farris,9999-01-01,Senior Staff
58249,Wojceich,Siprelle,1998-03-26,Staff
58253,Sachio,Chartres,9999-01-01,Senior Engineer
58254,Premal,Ranft,9999-01-01,Engineer
58260,Kiyomitsu,Noriega,9999-01-01,Senior Engineer
58265,Guozhong,Wilharm,9999-01-01,Senior Staff
58266,Stabislas,Desikan,1990-03-23,Staff
58270,Jeanna,Ginneken,9999-01-01,Senior Engineer
58275,Marsha,Shokrollahi,1997-04-29,Staff
58280,Manohar,Peris,9999-01-01,Senior Engineer
58286,Yechiam,Poujol,1999-07-20,Senior Staff
58292,Patricio,Codenie,9999-01-01,Staff
58297,Jungsoon,Brattka,1992-10-18,Staff
58300,Frazer,Picco,9999-01-01,Senior Staff
58301,Gift,Lindqvist,9999-01-01,Senior Staff
58304,Mabo,Grospietsch,9999-01-01,Senior Engineer
58306,Rosalyn,Danecki,1995-03-24,Senior Engineer
58308,Valter,Maliniak,9999-01-01,Senior Engineer
58312,Fumiya,Terwilliger,9999-01-01,Senior Staff
58317,Eric,Kenevan,9999-01-01,Engineer
58318,Supot,Chinal,9999-01-01,Senior Staff
58319,Magy,Yemenis,1999-05-18,Senior Staff
58320,Satosi,Madeira,9999-01-01,Senior Engineer
58321,Djelloul,Hopewell,9999-01-01,Staff
58325,Kokou,Riexinger,9999-01-01,Senior Engineer
58327,Zhiwei,Tischendorf,9999-01-01,Staff
58329,Paddy,Schiper,1992-01-31,Engineer
58332,Dines,Bierbaum,9999-01-01,Senior Engineer
58334,Wojceich,Heydon,9999-01-01,Staff
58335,Chenye,Brodie,9999-01-01,Senior Staff
58336,Lucian,Jeong,9999-01-01,Engineer
58337,Tooru,Baek,2001-08-13,Staff
58342,Serenella,Muniz,9999-01-01,Senior Staff
58343,Moto,Vidal,9999-01-01,Senior Staff
58346,Ibibia,Lambe,9999-01-01,Senior Staff
58349,Morris,Ouhyoung,9999-01-01,Staff
58351,Chenye,Cannard,2001-05-22,Senior Staff
58352,Soenke,Hatcliff,9999-01-01,Senior Engineer
58353,Shen,Brizzi,9999-01-01,Staff
58357,Djenana,Vecchi,9999-01-01,Senior Engineer
58358,Gurbir,Denos,2000-08-07,Senior Staff
58362,Raimond,Randi,9999-01-01,Staff
58363,Jaideep,Caine,9999-01-01,Senior Staff
58364,Dmitry,Wuwongse,2001-05-24,Staff
58366,Akeel,Schnabel,9999-01-01,Senior Engineer
58368,Danai,Jenevein,2001-12-14,Senior Staff
58369,Jiann,Schiper,9999-01-01,Senior Staff
58371,Vugranam,Msuda,9999-01-01,Senior Staff
58372,Jingling,Kawashima,9999-01-01,Senior Engineer
58376,Marsja,Diderrich,9999-01-01,Staff
58377,Goo,Panienski,9999-01-01,Senior Staff
58378,Bilhanan,Gruenwald,9999-01-01,Engineer
58381,JoAnna,Gustavson,9999-01-01,Senior Staff
58383,Somnath,Tomescu,1993-11-24,Senior Engineer
58387,Shaz,Thebaut,9999-01-01,Senior Engineer
58388,Aemilian,Parveen,9999-01-01,Senior Engineer
58391,Ayonca,Gyimothy,9999-01-01,Senior Staff
58392,Youpyo,VanScheik,9999-01-01,Engineer
58395,Hisao,Apsitis,9999-01-01,Technique Leader
58396,Kenton,Billawala,9999-01-01,Senior Staff
58401,Jiang,Garrabrants,9999-01-01,Staff
58408,Weiyi,Puppo,2000-03-21,Senior Staff
58409,Mara,Fordan,9999-01-01,Senior Engineer
58410,Samphel,Bennis,9999-01-01,Senior Staff
58412,Mabry,Sidje,9999-01-01,Staff
58414,Shih,Schrift,9999-01-01,Senior Staff
58416,Zeydy,Plavsic,1996-04-14,Senior Staff
58417,Garnet,Bouloucos,9999-01-01,Senior Staff
58418,Dmitry,Masamoto,1996-11-11,Staff
58423,Wuxu,Badr,9999-01-01,Staff
58425,Foong,Calkin,9999-01-01,Engineer
58426,Seongbae,Cools,9999-01-01,Staff
58427,Guozhong,Frezza,9999-01-01,Senior Staff
58430,Olivera,Tetzlaff,2000-03-01,Engineer
58434,Aluzio,Melton,9999-01-01,Engineer
58435,Ottavia,Jonsson,1999-02-14,Staff
58437,Maya,Rusterholz,9999-01-01,Senior Staff
58443,Stein,Heping,9999-01-01,Senior Staff
58446,Xiaoqiang,Reghbati,9999-01-01,Senior Staff
58455,Miomir,Vidya,9999-01-01,Senior Engineer
58457,Yuping,Delaune,9999-01-01,Technique Leader
58458,Turgut,Koshiba,9999-01-01,Senior Staff
58460,Mart,Wixon,9999-01-01,Senior Staff
58462,Ronnie,Paciorek,9999-01-01,Senior Staff
58464,Mara,Maliniak,9999-01-01,Senior Engineer
58468,Lucian,Limongiello,9999-01-01,Senior Staff
58475,Angel,Chaudhury,9999-01-01,Senior Engineer
58483,Zine,Plotkin,9999-01-01,Technique Leader
58485,Genki,Raney,9999-01-01,Senior Staff
58490,Toshiko,Navazio,9999-01-01,Senior Staff
58499,Marjo,Pileggi,9999-01-01,Senior Engineer
58500,Gad,Gargeya,9999-01-01,Engineer
58503,Vitali,Limongiello,9999-01-01,Engineer
58508,Vasilis,Ravishankar,9999-01-01,Engineer
58509,Anneli,Laurillard,9999-01-01,Senior Staff
58510,Dzung,Falco,1999-11-08,Senior Engineer
58511,Udaiprakash,Setlzner,9999-01-01,Engineer
58515,Radhia,Hertweck,9999-01-01,Senior Staff
58516,Xianlong,Knightly,9999-01-01,Senior Staff
58517,Zita,Stentiford,9999-01-01,Staff
58518,Along,Perfilyeva,9999-01-01,Senior Engineer
58523,Prasadram,Bazelow,9999-01-01,Senior Engineer
58524,Jaideep,Sidhu,9999-01-01,Senior Engineer
58527,Feixiong,Daescu,9999-01-01,Assistant Engineer
58533,Fumino,Crelier,1992-06-20,Technique Leader
58534,Beshir,Jayawardene,9999-01-01,Staff
58535,Susanna,Gruenwald,9999-01-01,Senior Engineer
58536,Tetsurou,Ullian,9999-01-01,Senior Engineer
58541,Anneli,Pouyioutas,9999-01-01,Staff
58542,Zhenbing,Heystek,1998-04-05,Assistant Engineer
58543,Gully,Beausoleil,9999-01-01,Senior Engineer
58545,Kaijung,Ranta,2000-08-05,Senior Engineer
58554,Feipei,Tzvieli,1992-06-28,Staff
58559,Moti,Lamparter,9999-01-01,Engineer
58562,Demos,Hoogerwoord,1999-09-10,Staff
58567,Eric,Scallan,9999-01-01,Senior Staff
58569,Moriyoshi,Emiris,9999-01-01,Senior Staff
58570,Suebskul,Blokdijk,9999-01-01,Senior Staff
58571,Charlene,Navazio,1990-06-12,Senior Engineer
58575,Pasqua,Pfau,9999-01-01,Senior Engineer
58576,Xianlong,Fraisse,9999-01-01,Senior Engineer
58580,Zhiguo,Lienhardt,9999-01-01,Senior Engineer
58586,Guozhong,Zockler,9999-01-01,Staff
58587,Zijian,Detkin,9999-01-01,Senior Engineer
